Student_ID,Hindi,English,Science,Maths,History,Geograpgy,Total
0,65,10,59,3,71,37,245
1,94,56,4,67,91,50,362
2,7,85,76,99,60,25,352
3,88,46,59,94,52,38,377
4,39,81,37,38,6,54,255
5,51,43,14,53,64,59,284
6,73,48,6,38,50,21,236
7,18,23,97,65,15,20,238
8,15,64,14,43,59,59,254
9,53,85,96,76,83,62,455
10,61,17,16,16,20,48,178
11,49,10,81,13,39,86,278
12,21,24,83,93,93,28,342
13,93,57,6,94,23,84,357
14,44,6,72,59,40,6,227
15,52,55,39,93,58,46,343
16,16,7,47,29,89,16,204
17,93,86,36,39,26,78,358
18,88,72,43,32,61,2,298
19,38,46,55,86,92,3,320
20,87,47,31,35,79,57,336
21,77,5,95,8,21,52,258
22,6,44,8,62,13,29,162
23,16,78,56,74,34,12,270
24,83,86,42,14,39,40,304
25,51,75,8,7,35,2,178
26,72,30,11,65,67,6,251
27,1,16,93,94,13,63,280
28,8,7,60,95,36,79,285
29,93,41,42,98,72,84,430
30,73,67,41,75,4,15,275
31,57,1,48,64,38,72,280
32,22,51,9,14,76,22,194
33,29,32,66,29,88,26,270
34,91,75,94,18,20,35,333
35,29,29,83,45,82,59,327
36,84,67,78,98,27,72,426
37,66,87,33,66,54,28,334
38,29,75,50,77,40,53,324
39,31,35,90,73,40,47,316
40,10,80,8,56,13,94,261
41,72,94,21,33,74,69,363
42,66,87,16,23,89,80,361
43,55,15,24,1,25,97,217
44,30,41,40,45,74,58,288
45,33,13,30,2,3,22,103
46,61,76,62,34,7,31,271
47,96,69,25,48,55,84,377
48,5,33,98,88,17,94,335
49,16,40,31,47,77,32,243
50,44,97,54,12,34,8,249
51,94,73,93,73,20,4,357
52,36,90,8,85,93,42,354
53,14,82,97,51,48,47,339
54,83,33,74,33,23,43,289
55,4,53,69,94,25,57,302
56,78,81,96,1,60,28,344
57,23,11,48,34,15,67,198
58,96,53,60,90,14,90,403
59,17,26,8,66,0,38,155
60,50,66,41,99,89,94,439
61,84,41,40,75,41,57,338
62,50,86,18,70,17,85,326
63,18,90,17,48,37,48,258
64,23,43,40,15,97,57,275
65,27,92,28,43,71,0,261
66,21,66,72,29,66,7,261
67,80,37,9,6,1,17,150
68,4,78,2,21,60,4,169
69,80,29,73,65,38,83,368
70,37,62,23,54,98,92,366
71,71,67,43,56,1,56,294
72,76,82,23,14,0,23,218
73,73,23,82,27,60,29,294
74,75,93,14,31,70,81,364
75,98,45,93,21,40,95,392
76,74,82,12,78,56,57,359
77,54,60,59,65,71,16,325
78,59,46,45,34,12,27,223
79,78,48,5,20,25,59,235
80,97,42,21,71,70,32,333
81,77,87,4,49,26,37,280
82,53,72,73,94,39,6,337
83,52,33,22,10,40,83,240
84,53,70,7,20,47,81,278
85,58,66,92,70,79,50,415
86,92,10,52,88,24,89,355
87,64,84,76,72,25,45,366
88,23,36,24,48,19,83,233
89,63,68,8,62,79,29,309
90,76,17,57,76,1,38,265
91,54,93,21,16,10,30,224
92,76,96,35,37,65,69,378
93,68,26,95,43,2,24,258
94,5,56,54,43,43,41,242
95,82,39,28,3,8,72,232
96,68,40,71,97,20,80,376
97,28,98,47,61,35,19,288
98,78,83,41,38,90,7,337
99,33,80,69,29,91,82,384
100,95,27,73,2,46,18,261
101,65,35,61,65,12,54,292
102,96,13,99,46,23,84,361
103,87,65,96,69,22,81,420
104,7,20,27,0,84,13,151
105,97,79,22,16,20,91,325
106,15,4,18,23,58,20,138
107,44,71,73,34,39,29,290
108,57,60,7,63,95,40,322
109,55,19,23,47,33,20,197
110,13,20,82,61,91,34,301
111,52,82,79,47,6,98,364
112,61,53,90,7,94,89,394
113,76,76,94,36,1,73,356
114,38,25,10,14,34,84,205
115,84,22,5,57,83,80,331
116,47,83,64,81,25,59,359
117,48,74,50,73,29,36,310
118,75,90,15,89,76,98,443
119,69,46,76,27,12,41,271
120,90,32,66,2,91,70,351
121,27,75,10,22,30,89,253
122,12,60,0,40,3,70,185
123,5,36,23,65,61,73,263
124,45,32,37,82,1,42,239
125,79,1,82,28,69,19,278
126,62,7,86,34,46,45,280
127,60,74,20,34,23,83,294
128,12,4,3,97,2,62,180
129,15,97,41,24,54,38,269
130,55,48,79,59,88,30,359
131,45,5,92,53,63,17,275
132,92,9,3,36,53,63,256
133,2,81,55,34,46,38,256
134,65,62,29,4,42,0,202
135,31,65,74,3,6,86,265
136,64,35,90,38,38,14,279
137,43,81,44,51,20,60,299
138,63,20,38,32,20,55,228
139,79,56,57,61,54,37,344
140,24,17,63,82,93,97,376
141,51,2,17,43,60,56,229
142,71,43,8,26,10,4,162
143,13,19,29,21,60,6,148
144,22,68,91,88,50,97,416
145,32,24,94,85,74,84,393
146,51,86,84,59,53,18,351
147,4,30,79,21,17,40,191
148,19,35,52,50,94,69,319
149,87,96,61,56,74,86,460
150,53,87,47,80,56,11,334
151,82,62,96,37,79,71,427
152,83,52,68,55,29,26,313
153,62,96,48,20,23,33,282
154,86,37,38,81,76,37,355
155,95,13,19,49,50,76,302
156,12,14,87,63,49,88,313
157,81,75,72,84,43,67,422
158,13,91,43,9,42,92,290
159,85,91,13,32,45,22,288
160,51,28,82,17,39,26,243
161,73,1,75,8,74,23,254
162,72,22,48,32,70,61,305
163,7,83,75,63,90,30,348
164,90,64,33,9,89,1,286
165,54,57,21,68,25,36,261
166,31,44,7,27,84,8,201
167,44,33,24,6,21,74,202
168,3,59,71,78,72,68,351
169,8,82,39,61,10,71,271
170,42,96,58,26,43,6,271
171,66,8,32,17,13,12,148
172,3,7,71,59,52,68,260
173,3,54,42,30,72,28,229
174,49,86,89,22,43,94,383
175,28,23,95,83,14,53,296
176,39,54,96,20,50,75,334
177,94,44,87,48,19,73,365
178,44,53,3,33,22,11,166
179,33,18,42,32,62,75,262
180,61,51,40,8,87,7,254
181,20,98,52,11,85,25,291
182,17,21,27,48,48,61,222
183,76,48,10,76,21,79,310
184,55,10,0,62,88,44,259
185,87,41,16,72,67,9,292
186,31,91,69,0,34,8,233
187,89,7,69,9,81,54,309
188,87,35,12,27,60,50,271
189,65,91,29,96,84,98,463
190,50,52,41,51,79,89,362
191,91,57,79,71,59,44,401
192,81,39,99,90,80,89,478
193,43,31,5,60,79,29,247
194,40,36,41,87,28,13,245
195,86,76,32,25,99,72,390
196,60,43,62,3,90,62,320
197,12,59,84,19,58,56,288
198,13,44,34,33,45,48,217
199,98,11,93,42,93,6,343
200,40,41,71,5,2,35,194
201,72,19,57,70,43,85,346
202,97,29,47,74,87,49,383
203,61,31,46,30,81,19,268
204,37,87,51,64,37,29,305
205,33,15,33,89,20,30,220
206,78,58,82,16,78,89,401
207,7,27,65,80,31,85,295
208,58,12,82,10,1,17,180
209,98,16,48,40,91,81,374
210,76,98,13,32,2,41,262
